workload,n,noise,mode,seed_count,median_cycles,mean_cycles,sd_cycles
W12_12q,12,MIX_kick_std,OFF,80,4.5,4.4,1.062597724470852
W12_12q,12,MIX_kick_std,PAIR_BLOCK,80,11.0,10.6,2.259158575300643
W12_12q,12,ZZcorr_kick_mid,OFF,80,3.0,3.5375,1.330686983516885
W12_12q,12,ZZcorr_kick_mid,PAIR_BLOCK,80,5.0,5.8,2.5127522859671054
W12_12q,12,Z_kick_mid,OFF,80,3.0,3.1375,1.0643087731278746
W12_12q,12,Z_kick_mid,PAIR_BLOCK,80,12.0,11.9125,2.228661118193351
W6_6q,6,MIX_kick_std,OFF,80,8.0,8.2,3.058087430760804
W6_6q,6,MIX_kick_std,PAIR_BLOCK,80,14.0,13.0125,2.218984543673816
W6_6q,6,ZZcorr_kick_mid,OFF,80,6.0,7.15,3.475410912778261
W6_6q,6,ZZcorr_kick_mid,PAIR_BLOCK,80,10.0,9.6625,2.7232879885084555
W6_6q,6,Z_kick_mid,OFF,80,5.0,5.95,3.031062812307244
W6_6q,6,Z_kick_mid,PAIR_BLOCK,80,14.0,13.8875,1.3500468815113356
