workload,n,noise,mode,seeds,median_cycles,mean_cycles,sd_cycles,q25,q75
W12_12q,12,MIX_kick_std,OFF,80,4.0,4.35,1.378863960942054,3.0,5.0
W12_12q,12,MIX_kick_std,PAIR_BLOCK,80,11.0,10.9375,2.1836199766744313,10.75,12.0
W12_12q,12,MIX_kick_std,SINGLE_BLOCK,80,5.0,5.3,1.6718064208695813,4.0,6.0
W12_12q,12,ZZcorr_kick_mid,OFF,80,3.0,3.65,1.4677977993398257,2.75,5.0
W12_12q,12,ZZcorr_kick_mid,PAIR_BLOCK,80,5.0,5.9875,2.7351150671187026,4.0,8.0
W12_12q,12,ZZcorr_kick_mid,SINGLE_BLOCK,80,3.0,3.525,1.4229137515337316,2.0,5.0
W12_12q,12,Z_kick_mid,OFF,80,3.0,3.2125,1.208553377316362,2.0,4.0
W12_12q,12,Z_kick_mid,PAIR_BLOCK,80,12.0,11.9,2.4782599040251476,12.0,13.0
W12_12q,12,Z_kick_mid,SINGLE_BLOCK,80,4.0,4.1875,1.7363846479307572,3.0,5.0
W6_6q,6,MIX_kick_std,OFF,80,8.0,8.2,2.7714639918692514,6.75,9.25
W6_6q,6,MIX_kick_std,PAIR_BLOCK,80,14.0,12.55,2.903075627892912,12.0,14.0
W6_6q,6,MIX_kick_std,SINGLE_BLOCK,80,9.0,9.4,2.8578118565775,7.0,12.0
W6_6q,6,ZZcorr_kick_mid,OFF,80,6.0,6.725,3.1056298409277234,4.75,8.0
W6_6q,6,ZZcorr_kick_mid,PAIR_BLOCK,80,10.0,9.6375,3.2462003104701043,7.0,12.0
W6_6q,6,ZZcorr_kick_mid,SINGLE_BLOCK,80,6.0,6.4625,2.6669270706189177,4.75,8.0
W6_6q,6,Z_kick_mid,OFF,80,5.0,5.875,2.7576131671695423,4.0,7.0
W6_6q,6,Z_kick_mid,PAIR_BLOCK,80,14.0,14.1,1.0506176604047877,14.0,14.0
W6_6q,6,Z_kick_mid,SINGLE_BLOCK,80,9.0,9.275,3.755080946050619,6.0,12.25
